m r d s f D_fst_mean D_fst_quantile0.05 D_fst_quantile0.25 D_fst_quantile0.50 D_fst_quantile0.75 D_fst_quantile0.95 HD_fst_mean HD_fst_quantile0.05 HD_fst_quantile0.25 HD_fst_quantile0.50 HD_fst_quantile0.75 HD_fst_quantile0.95
0 2.5e-07 0.01 0 0.001 0.55610914639246 0.534922118173605 0.535905205300355 0.551111825181496 0.571315766273601 0.584292424306663 0.544318076573698 0.505072827303439 0.526345802720768 0.544371847431494 0.549452611344435 0.594887435721251
0 2.5e-07 0.01 0 0.01 0.570007492369153 0.529387709555728 0.549004420521212 0.569544363747779 0.585649847588807 0.610659327744812 0.565792165079836 0.530017690578908 0.543570935942756 0.562714988864485 0.582013060834508 0.606066263141831
0 2.5e-07 0.01 0 0.1 0.569648873775927 0.526917666875609 0.550876705137252 0.570378893098931 0.586616259905822 0.61343484908912 0.571733253057397 0.524581572420758 0.551865475743386 0.573607494139315 0.589812673226895 0.621148982855078
0 2.5e-07 0.01 0 0.5 0.568495847801215 0.518905133444056 0.549912243277828 0.568518367061495 0.587083564046818 0.616925771234313 0.568931563545033 0.523772585582028 0.549329582050027 0.569515633675858 0.586958387159409 0.613682190960698
0 2.5e-07 0.5 0 0.001 0.55610914639246 0.534922118173605 0.535905205300355 0.551111825181496 0.571315766273601 0.584292424306663 0.544318076573698 0.505072827303439 0.526345802720768 0.544371847431494 0.549452611344435 0.594887435721251
0 2.5e-07 0.5 0 0.01 0.570007492369153 0.529387709555728 0.549004420521212 0.569544363747779 0.585649847588807 0.610659327744812 0.565792165079836 0.530017690578908 0.543570935942756 0.562714988864485 0.582013060834508 0.606066263141831
0 2.5e-07 0.5 0 0.1 0.569648873775927 0.526917666875609 0.550876705137252 0.570378893098931 0.586616259905822 0.61343484908912 0.571733253057397 0.524581572420758 0.551865475743386 0.573607494139315 0.589812673226895 0.621148982855078
0 2.5e-07 0.5 0 0.5 0.568495847801215 0.518905133444056 0.549912243277828 0.568518367061495 0.587083564046818 0.616925771234313 0.568931563545033 0.523772585582028 0.549329582050027 0.569515633675858 0.586958387159409 0.613682190960698
0 2.5e-07 0.01 0.0067 0.001 0.560278278786624 0.541872047421051 0.546649123772472 0.552620469211748 0.570078529013339 0.584044976854611 0.560719480748246 0.517406731767617 0.544855016383136 0.558150442744303 0.572104779959727 0.614676923757149
0 2.5e-07 0.01 0.0067 0.01 0.565030239828618 0.523405311427133 0.545856482372945 0.568449122015632 0.586008725106023 0.597476802681045 0.573189575156407 0.52442553352176 0.557451094931686 0.570527294404739 0.59220628997749 0.618170008900514
0 2.5e-07 0.01 0.0067 0.1 0.573354854349541 0.53056148987205 0.553406625196555 0.573431908850977 0.592399379014384 0.621507663264532 0.577079643499692 0.530860681375361 0.558523698558401 0.57600805163071 0.595379859120137 0.62256219413656
0 2.5e-07 0.01 0.0067 0.5 0.571572279116423 0.52598239477075 0.55296100843827 0.57111891709866 0.59020276014755 0.617114305120689 0.572647177849235 0.526643152549527 0.552927334575117 0.57370061551404 0.591952192404426 0.618241615040778
0 2.5e-07 0.5 0.0067 0.001 0.568178007642926 0.53777233706219 0.553827090857578 0.570802540781765 0.585930178141706 0.592270422444407 0.565128868985514 0.512134325277051 0.540946874577288 0.573102464530079 0.587003731875186 0.613800728055579
0 2.5e-07 0.5 0.0067 0.01 0.571369942186357 0.536942992568379 0.552593459246886 0.571356382161574 0.58738516734497 0.60687492484858 0.571182050829135 0.529922710092279 0.549769746791686 0.568060486736546 0.591916985383683 0.618989110645575
0 2.5e-07 0.5 0.0067 0.1 0.572320452491947 0.524005980205626 0.551588889523192 0.571948732873836 0.593350410103809 0.62221447838134 0.575309433174094 0.527195375249059 0.557516066164322 0.576127465618389 0.59375583523729 0.619082353894731
0 2.5e-07 0.5 0.0067 0.5 0.571816615556467 0.525127788379431 0.554003391678275 0.572950420652437 0.590434719436129 0.615460396579455 0.573349164587368 0.527647140317397 0.552859772551607 0.573179338891176 0.592571775260786 0.621077447232551
0 2.5e-07 0.01 0.01333 0.001 0.580269538550708 0.550570972753184 0.576664348796769 0.587898960825791 0.59150415057973 0.599286913163116 0.561356553292394 0.513237677242242 0.541384010016212 0.563754812847974 0.590631477922741 0.598871578505284
0 2.5e-07 0.01 0.01333 0.01 0.569256444585509 0.525524031000738 0.551507158827729 0.572976314718295 0.584677928373872 0.609390665966276 0.57458361644444 0.534023885215483 0.555782623721763 0.572053797821732 0.592294995633508 0.62861964029799
0 2.5e-07 0.01 0.01333 0.1 0.571796968523013 0.526077337313734 0.551201340776126 0.569246715057554 0.592960913530638 0.617168310100332 0.575107618886747 0.528587893461948 0.554607120520513 0.575141147769143 0.595105140644225 0.619474124351077
0 2.5e-07 0.01 0.01333 0.5 0.572290744890596 0.526799560531928 0.553570993067501 0.572532325277742 0.590647562753188 0.61722414442451 0.5731354757404 0.527935732431811 0.553588098924254 0.572958734075016 0.59155831190478 0.618986044422192
0 2.5e-07 0.5 0.01333 0.001 0.57058378002025 0.539652934282582 0.549617972219906 0.566019387519167 0.590179511744057 0.607135263237509 0.566477852551368 0.519471244150355 0.544173785062704 0.569571084911749 0.584607258998295 0.616537773728329
0 2.5e-07 0.5 0.01333 0.01 0.57331514319002 0.527693399044297 0.553686943913078 0.57221556826271 0.593103761313876 0.620790847145805 0.573138806652011 0.528860146184133 0.553410234939934 0.571647777454039 0.592041409391058 0.621251268692379
