m r d s f D_fst_mean D_fst_quantile0.05 D_fst_quantile0.25 D_fst_quantile0.50 D_fst_quantile0.75 D_fst_quantile0.95 HD_fst_mean HD_fst_quantile0.05 HD_fst_quantile0.25 HD_fst_quantile0.50 HD_fst_quantile0.75 HD_fst_quantile0.95
0 2.5e-08 0.01 0 0.1 0.552460911838846 0.438642346867681 0.504384802071807 0.549539034775899 0.600187626836415 0.672806072995788 0.563561205743282 0.454106539796221 0.515817686368157 0.563603162905012 0.609176056407126 0.676090252334281
0 2.5e-08 0.01 0 0.5 0.565213268794388 0.439860221763718 0.513007220489184 0.570551211004616 0.617181756698138 0.684126271150828 0.566095490843726 0.455455240218205 0.518907119559244 0.56176904289821 0.613949159442957 0.67898452777127
0 2.5e-08 0.5 0 0.1 0.552460911838846 0.438642346867681 0.504384802071807 0.549539034775899 0.600187626836415 0.672806072995788 0.563561205743282 0.454106539796221 0.515817686368157 0.563603162905012 0.609176056407126 0.676090252334281
0 2.5e-08 0.5 0 0.5 0.565213268794388 0.439860221763718 0.513007220489184 0.570551211004616 0.617181756698138 0.684126271150828 0.566095490843726 0.455455240218205 0.518907119559244 0.56176904289821 0.613949159442957 0.67898452777127
0 2.5e-08 0.01 0.0067 0.1 0.573441600640236 0.450434743069713 0.525543610095861 0.57305276229416 0.62583568829221 0.692387650494129 0.583861761460706 0.467581674954375 0.535871160643268 0.583391599473054 0.63385864567229 0.704916884807689
0 2.5e-08 0.01 0.0067 0.5 0.576013920548378 0.460104583976397 0.526110076624316 0.573064748840272 0.626375843897172 0.695400655870874 0.576050556763479 0.460088164528858 0.525018979923779 0.574687043587912 0.627294571199117 0.694690013173184
0 2.5e-08 0.5 0.0067 0.1 0.578614723219646 0.455374360577087 0.528316346336618 0.577519143952627 0.630731703984094 0.69847111853744 0.583926084504176 0.465742730558799 0.535969665500932 0.584781592038423 0.633315293360733 0.69646705364936
0 2.5e-08 0.5 0.0067 0.5 0.578639698160484 0.460976310937034 0.527465337970955 0.579436727471217 0.628536613952178 0.696062753382922 0.576909448956008 0.463280952084984 0.524912545710317 0.574663193331208 0.627699486211091 0.6940852444673
0 2.5e-08 0.01 0.01333 0.1 0.589330895621079 0.466691048613914 0.538029919576717 0.590063329144751 0.639767099603861 0.715867994015853 0.590203690184061 0.47387643350829 0.539679479966241 0.593217726603549 0.63986487909289 0.706717697841798
0 2.5e-08 0.01 0.01333 0.5 0.574604957484499 0.457549477383702 0.523418041442586 0.574013900243276 0.627249803573333 0.694964235234871 0.576567322985699 0.461546988389992 0.528432289232995 0.577326677203593 0.624017073178288 0.69137291892066
