m r d s f D_pi1_mean D_pi1_quantile0.05 D_pi1_quantile0.25 D_pi1_quantile0.50 D_pi1_quantile0.75 D_pi1_quantile0.95 HD_pi1_mean HD_pi1_quantile0.05 HD_pi1_quantile0.25 HD_pi1_quantile0.50 HD_pi1_quantile0.75 HD_pi1_quantile0.95
0 2.5e-07 0.01 0 0.001 371.717105263158 317.912894736842 351.459210526316 384.239473684211 404.497368421053 407.99 393.969736842105 344.353684210526 370.003947368421 392.392105263158 422.659210526316 440.041578947368
0 2.5e-07 0.01 0 0.01 372.708078335373 329.498947368421 348.863157894737 373.121052631579 393.636842105263 415.717368421053 380.380861244019 340.991052631579 364.66052631579 375.918421052632 400.632894736842 417.981578947368
0 2.5e-07 0.01 0 0.1 372.980851800554 320.856315789474 347.528947368421 373.515789473684 393.306578947368 430.375526315789 373.259431186662 329.868157894737 351.152631578947 371.15 395.201315789474 423.262894736842
0 2.5e-07 0.01 0 0.5 373.780475594493 322.468421052632 351.197368421052 373.957894736842 394.178947368421 427.196315789474 373.852406890447 321.703157894737 353.921052631579 372.915789473684 393.952631578947 427.255789473684
0 2.5e-07 0.5 0 0.001 371.717105263158 317.912894736842 351.459210526316 384.239473684211 404.497368421053 407.99 393.969736842105 344.353684210526 370.003947368421 392.392105263158 422.659210526316 440.041578947368
0 2.5e-07 0.5 0 0.01 372.708078335373 329.498947368421 348.863157894737 373.121052631579 393.636842105263 415.717368421053 380.380861244019 340.991052631579 364.66052631579 375.918421052632 400.632894736842 417.981578947368
0 2.5e-07 0.5 0 0.1 372.980851800554 320.856315789474 347.528947368421 373.515789473684 393.306578947368 430.375526315789 373.259431186662 329.868157894737 351.152631578947 371.15 395.201315789474 423.262894736842
0 2.5e-07 0.5 0 0.5 373.780475594493 322.468421052632 351.197368421052 373.957894736842 394.178947368421 427.196315789474 373.852406890447 321.703157894737 353.921052631579 372.915789473684 393.952631578947 427.255789473684
0 2.5e-07 0.01 0.0067 0.001 358.943859649123 315.092105263158 337.355263157895 365.184210526316 383.652631578948 398.427368421053 379.429122807017 337.274736842105 350.263157894737 370.378947368421 408.918421052632 438.836842105263
0 2.5e-07 0.01 0.0067 0.01 374.218306636156 331.594736842105 355.548684210526 367.068421052631 399.667105263158 420.93552631579 367.553730480046 309.128947368421 345.044736842105 372.484210526316 391.444736842105 412.963157894737
0 2.5e-07 0.01 0.0067 0.1 368.967165375367 318.105263157895 346.507894736842 367.055263157895 390.325 421.969210526316 367.976247377543 314.60947368421 346.331578947368 368.068421052632 390.089473684211 419.794736842105
0 2.5e-07 0.01 0.0067 0.5 371.837070938215 318.107368421053 349.947368421053 369.494736842105 394.847368421053 425.112631578947 371.631309988398 319.99 349.698684210527 371.405263157895 392.384210526316 425.222105263158
0 2.5e-07 0.5 0.0067 0.001 368.040131578947 323.312631578948 350.064473684211 369.805263157895 393.988157894737 402.382105263158 379.609064327485 314.874736842105 361.848684210526 380.934210526316 410.503947368421 432.881315789473
0 2.5e-07 0.5 0.0067 0.01 370.221939058172 321.783157894737 351.231578947369 371.621052631579 391.171052631579 424.051578947368 369.29860446571 309.244210526316 346.586842105263 370.505263157894 391.847368421053 420.195526315789
0 2.5e-07 0.5 0.0067 0.1 369.695071770335 317.653947368421 345.892105263158 368.676315789474 391.38552631579 424.861578947368 369.762692253422 318.984210526316 348.901315789474 370.055263157895 391.676315789474 419.584210526316
0 2.5e-07 0.5 0.0067 0.5 373.062466074184 320.666315789474 350.631578947368 372.594736842105 395.726315789474 428.424210526316 372.386960644855 321.587368421053 349.247368421052 371.163157894737 394.181578947369 427.456315789473
0 2.5e-07 0.01 0.01333 0.001 345.022368421053 310.042631578948 312.107894736842 333.81052631579 366.725 395.698684210526 378.838596491228 325.68947368421 360.363157894737 376.026315789474 398.373684210526 431.852631578947
0 2.5e-07 0.01 0.01333 0.01 366.966695427092 325.305263157895 343.621052631579 366.015789473684 383.415789473684 417.252631578947 363.886988304094 312.587894736842 344.325 363.763157894737 385.852631578947 411.281578947369
0 2.5e-07 0.01 0.01333 0.1 369.101334472083 315.124210526315 344.936842105263 369.131578947368 390.2 424.611578947368 368.787445313536 317.38447368421 347.252631578947 367.147368421053 391.826315789473 418.190789473684
0 2.5e-07 0.01 0.01333 0.5 371.364594736842 322.002105263157 350.256578947368 370.731578947368 392.217105263158 422.310263157895 372.562236842105 321.183157894736 350.825 372.281578947368 393.56447368421 424.657368421053
0 2.5e-07 0.5 0.01333 0.001 365.878195488722 334.674473684211 350.422368421053 367.621052631579 381.586842105263 400.847631578947 368.676127819549 322.679736842105 345.814473684211 366.65 388.097368421053 424.626052631579
0 2.5e-07 0.5 0.01333 0.01 368.47955465587 318.539736842105 348.046052631579 370.113157894737 388.710526315789 418.763157894737 366.539123559973 310.186315789474 343.621052631579 366.836842105263 389.831578947368 415.04
0 2.5e-07 0.5 0.01333 0.1 368.631113831089 317.137368421052 347.361842105263 367.6 390.130263157895 421.912105263158 368.351084924367 315.650526315789 346.568421052632 368.621052631579 390.926315789474 419.835789473684
0 2.5e-07 0.5 0.01333 0.5 372.463542105263 319.998684210527 350.261842105263 371.797368421053 393.669736842105 426.171578947369 372.801557894737 321.701315789473 351.082894736842 371.434210526315 394.581578947368 425.739473684211
0 2.5e-07 0.01 0.02667 0.001 368.733333333333 315.353947368421 344.411842105263 385.644736842105 394.872368421052 401.171052631579 367.782105263158 314.876578947368 339.430263157894 366.434210526316 394.494736842105 423.05
0 2.5e-07 0.01 0.02667 0.01 368.044237175216 321.28947368421 341.476315789474 366.973684210526 391.847368421053 418.572631578947 365.21984295416 315.313684210526 342.76052631579 360.818421052632 385.330263157895 423.313684210526
0 2.5e-07 0.01 0.02667 0.1 367.455974842767 313.955263157895 346.077631578947 366.88947368421 391.071052631579 420.663157894737 367.263048359713 317.063157894737 346.615789473684 367.694736842105 387.805263157895 416.394736842105
0 2.5e-07 0.01 0.02667 0.5 372.783489473684 322.607105263158 350.784210526316 372.655263157895 393.001315789474 426.218684210526 372.358768421053 320.347105263158 349.526315789474 372.234210526316 393.180263157895 423.976842105263
0 2.5e-07 0.5 0.02667 0.001 354.137299771167 308.426842105263 334.007894736842 359.615789473684 375.592105263158 402.146315789474 365.610526315789 322.70947368421 340.573684210526 361.773684210526 386.526315789474 421.162105263158
0 2.5e-07 0.5 0.02667 0.01 365.795811601075 311.191578947368 342.147368421053 366.231578947368 387.294736842105 421.343157894737 366.767073170732 317.587105263158 344.56052631579 366.544736842106 387.432894736842 419.497105263158
0 2.5e-07 0.5 0.02667 0.1 368.150498303076 315.144210526316 347.031578947368 367.573684210526 391.094736842105 423.497894736842 368.677000212224 318.001052631579 345.968421052632 368.044736842105 390.930263157895 424.668421052632
0 2.5e-07 0.5 0.02667 0.5 372.700247368421 322.402368421053 348.61447368421 372.9 393.469736842105 424.630526315789 372.711094736842 320.382631578948 352.372368421052 371.244736842105 394.127631578948 425.429736842106
0 2.5e-07 0.01 0.05333 0.001 351.775438596491 314.764473684211 332.93947368421 344.378947368421 371.706578947368 396.68552631579 362.310983981693 302.299999999999 338.015789473685 358.513157894737 386.78947368421 428.805263157895
0 2.5e-07 0.01 0.05333 0.01 360.356985645933 306.702894736842 339.192105263158 361.623684210527 382.019736842105 408.570789473684 363.337490646046 312.033684210526 342.278947368421 362.844736842105 385.173684210526 413.587105263158
0 2.5e-07 0.01 0.05333 0.1 365.501860254083 315.003421052632 343.63552631579 363.9 386.457894736842 420.729736842105 367.387513210738 317.051315789474 346.428947368421 366.834210526316 389.3 420.496052631579
0 2.5e-07 0.01 0.05333 0.5 372.964068421053 322.115263157895 350.557894736842 371.563157894737 394.618421052632 424.763157894736 372.536073684211 322.646052631579 350.06052631579 372.923684210527 392.897368421053 425.442894736842
0 2.5e-07 0.5 0.05333 0.001 350.966267942584 301.701315789473 328.097368421052 352.815789473684 373.338157894736 393.720263157895 361.458179231863 314.951052631579 335.731578947368 359.047368421053 380.26447368421 412.754736842105
0 2.5e-07 0.5 0.05333 0.01 359.893486000192 308.732105263158 339.136842105263 358.121052631579 379.573684210526 412.698421052632 361.658801896044 316.105789473684 341.572368421053 359.594736842105 382.771052631579 411.74447368421
0 2.5e-07 0.5 0.05333 0.1 367.771863157895 316.431052631579 345.605263157895 366.373684210526 388.413157894737 426.611315789474 368.862236842105 318.289473684211 348.417105263158 369.084210526316 389.877631578947 421.454736842106
0 2.5e-07 0.5 0.05333 0.5 373.360915789474 321.999736842105 350.607894736842 373.092105263158 393.978947368421 427.722894736842 373.097105263158 322.003684210527 351.447368421053 372.142105263158 393.868421052631 428.047631578947
0 2.5e-07 0.01 0.0667 0.001 359.975438596491 314.825 335.667105263158 355.902631578948 392.267105263158 404.555263157895 363.803376365442 299.853684210527 341.342105263158 365.778947368421 398.931578947368 413.550526315789
0 2.5e-07 0.01 0.0667 0.01 362.002164685908 314.565789473684 338.243421052632 361.894736842105 381.493421052632 414.472105263158 360.90875013621 311.844736842105 339.021052631579 359.626315789474 382.85 413.511578947368
0 2.5e-07 0.01 0.0667 0.1 365.830167182663 314.72 345.144736842105 364.334210526315 385.96447368421 418.501315789474 367.124018755598 317.08052631579 344.478947368421 366.373684210526 389.384210526316 418.718947368421
0 2.5e-07 0.01 0.0667 0.5 372.913310526316 321.548684210526 349.909210526316 372.255263157894 393.517105263158 428.853684210526 373.275984210526 322.59 351.123684210526 372.781578947368 394.678947368421 426.986842105263
0 2.5e-07 0.5 0.0667 0.001 354.911320754717 306.546315789474 333.673684210526 350.605263157895 375.363157894737 407.99052631579 360.212343358396 304.368157894737 335.757894736842 359.544736842105 385.019736842105 420.192105263158
0 2.5e-07 0.5 0.0667 0.01 360.646190355115 306.2 337.294736842105 361.821052631579 382.636842105263 412.384210526316 360.124979925542 309.315789473684 339.568421052632 359.7 381.394736842105 410.963157894737
0 2.5e-07 0.5 0.0667 0.1 368.67997368421 316.342368421052 345.738157894737 368.363157894737 389.430263157895 422.482105263158 368.809389473684 319.496842105263 348.169736842105 368.039473684211 389.731578947368 421.923157894737
0 2.5e-07 0.5 0.0667 0.5 372.407052631579 321.993684210527 352.134210526316 370.731578947368 392.838157894736 424.34947368421 372.485152631579 323.74947368421 349.676315789474 372.628947368421 394.926315789473 425.265263157895
0 2.5e-07 0.01 0.1334 0.001 352.07 310.537631578947 327.665789473684 340.478947368421 381.21447368421 400.91552631579 352.241418764302 305.72 329.628947368421 353.331578947368 372.414473684211 405.616842105263
0 2.5e-07 0.01 0.1334 0.01 354.375847953216 297.111052631579 330.840789473684 354.373684210526 377.251315789474 408.617105263157 353.858355903667 304.515789473684 331.792105263158 352.031578947368 374.986842105263 405.308421052632
0 2.5e-07 0.01 0.1334 0.1 364.939155037908 309.332105263158 343.430263157895 365.742105263158 386.432894736842 420.183684210526 369.493789473684 321.552631578947 347.251315789474 368.131578947368 391.926315789473 423.683421052632
0 2.5e-07 0.01 0.1334 0.5 373.033015789474 320.708421052631 351.236842105263 372.055263157895 394.361842105263 424.680789473684 373.047494736842 322.652368421053 351.355263157895 371.371052631578 394.102631578947 425.918947368421
0 2.5e-07 0.5 0.1334 0.001 347.279914070892 304.090263157894 326.756578947369 349.428947368421 363.01447368421 396.521842105263 348.42780399274 295.515789473685 328.668421052632 350.031578947368 369.184210526316 393.421052631579
0 2.5e-07 0.5 0.1334 0.01 355.191165188958 302.969473684211 332.636842105263 356.336842105263 377.142105263158 408.123157894736 355.200319155109 307.125263157895 334.292105263158 354 375.115789473684 404.598947368421
0 2.5e-07 0.5 0.1334 0.1 369.086989473684 317.991052631578 346.418421052632 368.284210526316 390.293421052632 428.502894736843 368.804931578947 318.266578947368 346.414473684211 370.136842105263 390.831578947368 424.098684210526
0 2.5e-07 0.5 0.1334 0.5 373.512231578947 321.51 351.725 371.415789473684 394.523684210526 429.694473684211 372.714036842105 322.443421052632 350.667105263158 372.218421052631 393.946052631579 422.05447368421
0.00034 2.5e-07 0.01 0 0.001 466.326315789474 400.913684210526 422.163157894737 485.557894736842 502.878947368421 525.892105263158 502.968421052631 435.755263157895 451.394736842105 504.473684210526 553.807894736842 571.36052631579
0.00034 2.5e-07 0.01 0 0.01 500.681704260652 443.964736842105 469.018421052632 496.642105263158 530.3 573.150526315789 480.680861244019 407.12 446.105263157895 482.957894736842 517.694736842105 540.055789473684
0.00034 2.5e-07 0.01 0 0.1 485.216983352951 414.927368421053 453.663157894737 485.642105263158 519.710526315789 553.174736842105 487.568952349328 420.883157894737 461.168421052632 491.563157894737 514.042105263158 550.563157894737
0.00034 2.5e-07 0.01 0 0.5 487.635071770335 423.157894736842 461.71447368421 487.43947368421 515.932894736842 555.466578947368 488.328377577235 418.81 459.992105263157 487.963157894737 515.613157894737 554.527368421053
