m r d s f D_dxy_mean D_dxy_quantile0.05 D_dxy_quantile0.25 D_dxy_quantile0.50 D_dxy_quantile0.75 D_dxy_quantile0.95 HD_dxy_mean HD_dxy_quantile0.05 HD_dxy_quantile0.25 HD_dxy_quantile0.50 HD_dxy_quantile0.75 HD_dxy_quantile0.95
0 2.5e-08 0.01 0 0.1 875.007125 701.384 791.82625 865.33 949.7125 1076.952 870.855445 696.785 794.09875 864.475 940.54375 1068.81025
0 2.5e-08 0.01 0 0.5 876.130775 696.61325 793.04875 865.83 952.38125 1073.3955 873.99349 708.4765 793.51 868.945 945.07375 1074.48225
0 2.5e-08 0.5 0 0.1 875.007125 701.384 791.82625 865.33 949.7125 1076.952 870.855445 696.785 794.09875 864.475 940.54375 1068.81025
0 2.5e-08 0.5 0 0.5 876.130775 696.61325 793.04875 865.83 952.38125 1073.3955 873.99349 708.4765 793.51 868.945 945.07375 1074.48225
0 2.5e-08 0.01 0.0067 0.1 874.36967 695.28625 791.04125 864.07 955.02625 1073.845 873.91134 702.5745 787.41375 866.7475 947.07 1083.47825
0 2.5e-08 0.01 0.0067 0.5 873.87818 691.452 788.84 866.25 944.76 1078.8255 873.730895 693.93225 792.02875 865.9975 945.45875 1072.525
0 2.5e-08 0.5 0.0067 0.1 872.57716 695.10425 787.67375 861.82 948.055 1086.5315 873.00957 697.14125 789.53875 862.77 947.35125 1081.6435
0 2.5e-08 0.5 0.0067 0.5 872.581685 699.8755 792.20125 867.275 946.7275 1068.6325 869.332335 694.101 784.04625 860.8175 945.975 1074.06
0 2.5e-08 0.01 0.01333 0.1 875.21352 698.3635 796.72375 865.66 951.14375 1073.73125 877.44974 696.67675 791.41125 864.405 954.925 1095.922
0 2.5e-08 0.01 0.01333 0.5 875.905785 692.23225 795.215 867.045 951.3875 1092.6255 873.82041 696.96425 788.55125 869.02 946.51875 1081.33075
0 2.5e-08 0.5 0.01333 0.1 872.88609 694.5175 791.01 864.435 948.95125 1078.14975 871.352835 683.5575 784.02 862.5825 951.655 1091.29825
0 2.5e-08 0.5 0.01333 0.5 875.326955 694.792 793.48 870.08 952.97125 1069.801 871.10818 687.05375 786.98125 864.6325 945.915 1073.92775
0 2.5e-08 0.01 0.02667 0.1 874.06695 685.84425 793.0875 861.7075 952.2325 1079.8345 870.317875 694.47525 781.68125 858.635 945.145 1084.62275
0 2.5e-08 0.01 0.02667 0.5 876.986205 699.158 797.3325 874.6375 946.455 1076.194 866.42103 691.32625 779.77875 855.5875 944.45125 1074.11575
0 2.5e-08 0.5 0.02667 0.1 878.05944 694.04825 791.485 867.7875 956.05125 1095.4645 874.61285 699.1125 789.10125 868.2925 951.26375 1085.625
0 2.5e-08 0.5 0.02667 0.5 880.45624 696.113 799.125 879.4475 951.87 1077.742 867.84432 694.682 782.75875 857.985 938.59375 1070.62875
0 2.5e-08 0.01 0.05333 0.1 878.13636 694.98925 786.71875 867.51 955.91375 1089.00525 874.650775 701.17875 794.7725 866.7425 944.97875 1083.59025
0 2.5e-08 0.01 0.05333 0.5 877.46222 706.40075 795.36375 865.8175 949.35125 1084.31075 873.294015 701.1525 789.3975 868.1275 945.53 1066.3535
0 2.5e-08 0.5 0.05333 0.1 876.60745 689.67775 786.5525 872.65 957.03875 1076.801 872.098655 700.7015 792.43625 868.185 940.36375 1065.41375
0 2.5e-08 0.5 0.05333 0.5 881.580745 700.76525 793.535 870.9225 961.57 1092.01175 876.948665 709.96125 795.08125 870.58 945.37125 1068.3045
0 2.5e-08 0.01 0.0667 0.1 880.090125 694.71925 794.6025 875.4425 952.695 1097.8545 873.0069 695.91675 791.93125 864.0775 948.11625 1077.7995
0 2.5e-08 0.01 0.0667 0.5 876.305705 706.024 791.93375 868.4475 947.68375 1081.363 869.246045 693.112 792.2875 863.205 941.0825 1055.215
0 2.5e-08 0.5 0.0667 0.1 878.489805 700.37725 794.81375 869.8925 952.4925 1089.75975 868.97583 697.9415 790.3375 859.97 940.42125 1066.79875
0 2.5e-08 0.5 0.0667 0.5 875.8963 694.21675 792.78625 873.295 949.475 1071.37725 872.42687 704.7625 791.78875 861.1875 938.08125 1074.9635
0 2.5e-08 0.01 0.1334 0.1 872.48793 688.31025 789.09125 868.7425 945.69625 1077.7435 866.84252 688.544 784.51 859.03 935.9325 1079.86075
0 2.5e-08 0.01 0.1334 0.5 876.40061 700.448 786.41625 869.1725 951.8475 1086.26225 873.072575 706.077 789.695 862.5 943.75125 1073.3675
0 2.5e-08 0.5 0.1334 0.1 872.29876 688.745 790.805 868.1225 947.11375 1084.068 872.13882 697.1995 791.225 860.4925 946.38 1070.355
0 2.5e-08 0.5 0.1334 0.5 875.77258 703.7395 789.33375 866.41 948.55125 1085.005 870.14942 687.12325 790.15 859.685 944.9975 1066.8775
0.00034 2.5e-08 0.01 0 0.1 692.95469 540.4235 620.63375 690.0625 758.07625 862.38025 690.14764 543.75625 625.63625 683.0675 752.57875 853.62125
0.00034 2.5e-08 0.01 0 0.5 692.09897 530.301 622.8875 688.8475 759.57875 867.43 688.20482 547.26175 623.03375 681.07 747.2375 858.44625
0.00034 2.5e-08 0.5 0 0.1 692.95469 540.4235 620.63375 690.0625 758.07625 862.38025 690.14764 543.75625 625.63625 683.0675 752.57875 853.62125
0.00034 2.5e-08 0.5 0 0.5 692.09897 530.301 622.8875 688.8475 759.57875 867.43 688.20482 547.26175 623.03375 681.07 747.2375 858.44625
0.00034 2.5e-08 0.01 0.0067 0.1 708.542315 544.7855 636.15625 701.115 775.36875 893.0485 723.30876 570.68375 656.7425 718.8775 784.48625 890.886
0.00034 2.5e-08 0.01 0.0067 0.5 741.153825 575.36525 667.09625 734.19 806.75125 933.39975 751.02545 587.889 673.4125 747.465 812.27625 945.07175
0.00034 2.5e-08 0.5 0.0067 0.1 723.695425 562.07975 650.74125 713.4 793.38875 913.749 740.007875 575.2605 664.57625 737.7025 809.37125 924.129
0.00034 2.5e-08 0.5 0.0067 0.5 743.590505 583.8505 667.94375 736.6175 813.3775 931.2185 755.60746 588.59775 680.01875 748.725 818.15875 950.1725
0.00034 2.5e-08 0.01 0.01333 0.1 726.183025 552.5845 643.645 716.05 795.8575 919.717 767.96076 596.81675 690.2475 761.28 838.20625 959.0085
0.00034 2.5e-08 0.01 0.01333 0.5 769.686775 616.7855 691.11625 760.5175 837.47875 958.2215 786.502355 624.11825 710.3575 782.2875 852.585 952.333
0.00034 2.5e-08 0.5 0.01333 0.1 768.20325 590.77975 689.9375 759.3 845.16875 958.26225 786.63929 618.36 708.79 779.5225 856.12875 992.1655
0.00034 2.5e-08 0.5 0.01333 0.5 783.17124 618.4175 705.16 779.24 852.14 966.7195 796.243275 627.65125 717.46375 791.51 868.2075 991.20675
0.00034 2.5e-08 0.01 0.02667 0.1 753.894645 570.18575 672.72625 743.5175 826.36375 966.59725 810.88507 631.688 725.19 804.375 884.835 1021.2345
0.00034 2.5e-08 0.01 0.02667 0.5 795.73243 618.9795 716.30375 780.935 872.0675 996.7845 816.358955 653.565 733.25125 805.405 890.15875 1021.926
0.00034 2.5e-08 0.5 0.02667 0.1 812.31589 625.3645 729.69875 801.2325 889.18125 1024.915 825.13603 644.58275 747.20375 812.2775 896.0825 1025.03875
0.00034 2.5e-08 0.5 0.02667 0.5 817.1447 647.32 734.8275 809.5875 886.02625 1022.552 825.06726 664.16225 743.65375 820.1025 895.9 1001.73675
0.00034 2.5e-08 0.01 0.05333 0.1 785.634325 594.8005 705.8175 780.2175 862.495 992.23275 836.57378 670.3085 753.8575 829.065 914.1825 1033.91
0.00034 2.5e-08 0.01 0.05333 0.5 815.689275 654.07825 740.0975 809.265 880.25 999.07725 841.82863 672.04075 760.12375 833.26 908.3375 1051.38
0.00034 2.5e-08 0.5 0.05333 0.1 845.69319 669.4715 758.3525 840.1875 917.75625 1059.899 848.85059 670.4845 769.22 838.23 919.3025 1046.29225
0.00034 2.5e-08 0.5 0.05333 0.5 841.900475 672.097 762.1325 832.87 911.84375 1033.3385 849.713295 676.23025 770.91125 841.7925 923.17 1043.389
0.00034 2.5e-08 0.01 0.0667 0.1 795.917545 608.3615 707.435 789.47 876.06125 1015.3505 841.177945 667.04775 763.43375 831.6025 915.1025 1041.60975
0.00034 2.5e-08 0.01 0.0667 0.5 815.308565 649.799 738.83125 804.2775 889.395 1008.4755 843.5855 668.828 764.8625 841.5475 918.47875 1036.90975
0.00034 2.5e-08 0.5 0.0667 0.1 845.651695 670.36625 769.055 839.415 915.80125 1029.58425 848.980705 677.4825 770.92625 841.975 916.5075 1052.275
0.00034 2.5e-08 0.5 0.0667 0.5 853.348265 672.73125 773.1425 846.375 922.4225 1045.4345 853.92373 677.04925 772.275 849.035 921.8425 1051.089
0.00034 2.5e-08 0.01 0.1334 0.1 823.63778 644.64875 742.905 817.41 894.18875 1028.4565 859.555185 680.53775 776.12625 849.47 934.43875 1060.41775
0.00034 2.5e-08 0.01 0.1334 0.5 832.784 659.7245 747.275 825.325 902.275 1042.82775 861.402285 694.5345 775.9975 850.5325 935.4975 1074.423
0.00034 2.5e-08 0.5 0.1334 0.1 867.803025 689.26375 784.0625 858.1575 943.00875 1083.65525 855.776415 694.557 779.1325 846.2575 922.58875 1048.40975
0.00034 2.5e-08 0.5 0.1334 0.5 863.407485 690.79975 784.03375 857.2075 933.3825 1054.2415 857.82786 684.37675 776.14125 848.5 929.66 1057.02025
0.0017 2.5e-08 0.01 0 0.1 592.994125 458.3895 534.55125 590.545 648.8425 736.49825 588.925575 465.17075 534.7575 582.3575 640.3975 730.615
0.0017 2.5e-08 0.01 0 0.5 592.22267 460.935 535.225 589.1975 644.2625 735.37975 591.69352 469.7055 537.5525 589.175 642.54875 726.88525
0.0017 2.5e-08 0.5 0 0.1 592.994125 458.3895 534.55125 590.545 648.8425 736.49825 588.925575 465.17075 534.7575 582.3575 640.3975 730.615
0.0017 2.5e-08 0.5 0 0.5 592.22267 460.935 535.225 589.1975 644.2625 735.37975 591.69352 469.7055 537.5525 589.175 642.54875 726.88525
0.0017 2.5e-08 0.01 0.0067 0.1 595.236905 467.52375 538.975 592.5975 647.9925 740.028 597.495 468.122 539.30875 592.935 651.42125 741.01025
