chrm m s f r meanr2 q05 q25 q50 q75 q95
D 0 0 0.001 2.5e-07 0.17019172612001 0.106249296176249 0.134830668996162 0.160551146805046 0.194902599097953 0.266306170731871
HD 0 0 0.001 2.5e-07 0.170093103726901 0.106363257567447 0.13492257753617 0.160943476221895 0.194749162338763 0.264209565062191
D 0.00034 0 0.001 2.5e-07 0.169619564904091 0.113958491068164 0.138547801993773 0.161250093720086 0.190903274614183 0.253909325054055
HD 0.00034 0 0.001 2.5e-07 0.168599917933677 0.113303143059612 0.137869449125166 0.15997861556285 0.189516660453445 0.252690946318181
D 0.0017 0 0.001 2.5e-07 0.143878004245658 0.101552294193321 0.120524926726976 0.137830612338483 0.160146288611687 0.206407873811717
HD 0.0017 0 0.001 2.5e-07 0.143419294253034 0.101361319074129 0.120201150503179 0.137583969058822 0.159875989193992 0.205405521699266
D 0.0034 0 0.001 2.5e-07 0.1352173976767 0.0969631455189818 0.114266856787752 0.130080656501261 0.150251385049989 0.190807324689775
HD 0.0034 0 0.001 2.5e-07 0.134764460957905 0.0966901914322836 0.113722812422609 0.12962326783252 0.149831698714863 0.19043529804339
