m rec h chrm s f pfix mtfix pkeep fstall fstcb meangen_p1all meangen_p2all meangen_p1cb meangen_2cb
0 2.5e-07 0.01 D 0.0067 0.001 0 NA 0 1e-04 NA 0.000266283328135 0.000279729989345 NA NA
0 2.5e-07 0.01 H 0.0067 0.001 9 NA 0.00900000000000001 0.009 NA 0.006353503368885 0.000134666681345 0.692158891902222 2.59258888888889e-06
0 2.5e-07 0.01 D 0.0067 0.01 30 1437 0.038 0.0350538386192903 0.890459828386675 0.023355129997915 0.00567674655314 0.564146579802632 0.00263973640644737
0 2.5e-07 0.01 H 0.0067 0.01 78 1316.28205128205 0.087 0.0852503259608858 0.979725996475253 0.055622046838055 0.0020875232513 0.623115097155747 0.00114168593885057
0 2.5e-07 0.01 D 0.0067 0.1 311 1283.58974358974 0.37 0.353630256252586 0.945593239423388 0.257598640011905 0.042268753772975 0.663660062762838 0.0416576394008919
0 2.5e-07 0.01 H 0.0067 0.1 537 1127.62523191095 0.578 0.566916077062146 0.980756057310413 0.424716756675065 0.0220849268784 0.722294757639187 0.0215364533946194
0 2.5e-07 0.01 D 0.0067 0.5 779 1151.47435897436 0.989 0.929497616319063 0.93957000038722 0.89586222692875 0.166707589220735 0.904738584658241 0.166849965563615
0 2.5e-07 0.01 H 0.0067 0.5 957 966.441207075963 0.998 0.989085716425346 0.991067852129605 0.9200629896622 0.10557003336972 0.921711455891784 0.105614134969559
0 2.5e-07 0.5 D 0.0067 0.001 4 NA 0.00600000000000001 0.00524933929028617 NA 0.003145003330065 6.7546678385e-05 0.51404333225 0
0 2.5e-07 0.5 H 0.0067 0.001 12 1267.5 0.012 0.012 1 0.008089846536 4.9156666775e-05 0.667581933726667 1.94444166666667e-06
0 2.5e-07 0.5 D 0.0067 0.01 70 1420 0.092 0.0881356194877213 0.957966801006581 0.05656091311565 0.00174260666279 0.596447969107989 0.0023280794488587
0 2.5e-07 0.5 H 0.0067 0.01 119 1319.24369747899 0.128 0.125520172879105 0.980552746851415 0.08593752320141 0.00139578337691 0.663108254132031 0.000787239621601563
0 2.5e-07 0.5 D 0.0067 0.1 540 1310.59040590406 0.661 0.624161173866731 0.944203360059244 0.44790820620296 0.01951692007405 0.443881068663109 0.0212102622826324
0 2.5e-07 0.5 H 0.0067 0.1 696 1165.97421203438 0.742 0.730774038711104 0.984870672117391 0.545090716656435 0.014099783280755 0.547138903642069 0.0140675649629582
0 2.5e-07 0.5 D 0.0067 0.5 917 1099.86928104575 0.996 0.968903277513693 0.972794455335033 0.875869363148685 0.122908332875685 0.875650803030808 0.122943547018609
0 2.5e-07 0.5 H 0.0067 0.5 981 925.370558375635 1 0.995770631333747 0.995770631333747 0.911128263265 0.08725289608693 0.911128263265 0.08725289608693
0 2.5e-07 0.01 D 0.01333 0.001 2 NA 0.002 0.002 NA 0.001249110017635 0.00024462002643 0.5871416765 0
0 2.5e-07 0.01 H 0.01333 0.001 15 913.333333333333 0.015 0.015 1 0.011206656676985 6.9020001775e-05 0.743280666710333 1.99999666666667e-06
