m rec h chrm s f pfix mtfix pkeep fstall fstcb meangen_p1all meangen_p2all meangen_p1cb meangen_2cb
0 2.5e-07 0.01 A 0 0.001 1 NA 0.002 0.00135992716230119 NA 0.00115807005617 0.00011314665076 0.55626836135 0
0 2.5e-07 0.01 X 0 0.001 0 NA 0 0.000631616818053514 NA 0.00030387999172 0.00042251110855 NA NA
0 2.5e-07 0.01 A 0 0.01 2 NA 0.019 0.0179846870773937 0.350722811658222 0.010098110100705 0.01111050998452 0.00292787868954545 0.000525303063181818
0 2.5e-07 0.01 X 0 0.01 5 NA 0.019 0.0197677025380666 0.538001347645729 0.01115313792166 0.009348595499055 0.451532635262632 0.00168795264105263
0 2.5e-07 0.01 A 0 0.1 32 1518.75 0.196 0.14094883075339 0.42547330543856 0.105379790224345 0.085715506474625 0.412841803629515 0.0694390304461224
0 2.5e-07 0.01 X 0 0.1 47 1332.34042553191 0.15 0.157883063586288 0.546522120450235 0.100209235104415 0.099465430554035 0.518423110917 0.105961450844733
0 2.5e-07 0.01 A 0 0.5 78 1411.77215189873 0.687 0.394424447697268 0.366075444145937 0.49556870271168 0.51778129093951 0.641453114104833 0.524219170827038
0 2.5e-07 0.01 X 0 0.5 150 1269.8 0.643 0.431001747457958 0.418204880204446 0.502644403917865 0.482612559600235 0.697025718924572 0.47846889953465
0 2.5e-07 0.5 A 0 0.001 1 NA 0.002 0.00135992716230119 NA 0.00115807005617 0.00011314665076 0.55626836135 0
0 2.5e-07 0.5 X 0 0.001 0 NA 0 0.000631616818053514 NA 0.00030387999172 0.00042251110855 NA NA
0 2.5e-07 0.5 A 0 0.01 2 NA 0.022 0.0179846870773937 0.350722811658222 0.010098110100705 0.01111050998452 0.324786975495455 0.00247787919363636
0 2.5e-07 0.5 X 0 0.01 5 NA 0.019 0.0197677025380666 0.538001347645729 0.01115313792166 0.009348595499055 0.451532635262632 0.00168795264105263
0 2.5e-07 0.5 A 0 0.1 32 1518.75 0.196 0.14094883075339 0.42547330543856 0.105379790224345 0.085715506474625 0.412841803629515 0.0694390304461224
0 2.5e-07 0.5 X 0 0.1 47 1332.34042553191 0.15 0.157883063586288 0.546522120450235 0.100209235104415 0.099465430554035 0.518423110917 0.105961450844733
0 2.5e-07 0.5 A 0 0.5 78 1411.77215189873 0.687 0.394424447697268 0.366075444145937 0.49556870271168 0.51778129093951 0.641453114104833 0.524219170827038
0 2.5e-07 0.5 X 0 0.5 150 1269.8 0.643 0.431001747457958 0.418204880204446 0.502644403917865 0.482612559600235 0.697025718924572 0.47846889953465
0 2.5e-07 0.01 A 0.0067 0.001 2 NA 0.002 0.002 NA 0.00168383335597 7.951334141e-05 0.8187133446 0
0 2.5e-07 0.01 X 0.0067 0.001 1 NA 0.001 0.001 NA 0.00114830662993 5.1862219375e-05 0.8737688609 1.333335e-05
0 2.5e-07 0.01 A 0.0067 0.01 33 1396.36363636364 0.041 0.0380658729614481 0.927072412193456 0.025998183382165 0.004222206693745 0.579446179674878 0.00533430927182927
0 2.5e-07 0.01 X 0.0067 0.01 59 1100.33898305085 0.0600000000000001 0.0599480513155678 0.999134188592796 0.044273360076315 0.001831800039015 0.717735409018083 0.00228614791166667
0 2.5e-07 0.01 A 0.0067 0.1 307 1226.32258064516 0.373 0.350707445805043 0.92950147198585 0.26108661048052 0.03958589367259 0.665059367189678 0.0396168814508713
0 2.5e-07 0.01 X 0.0067 0.1 456 1049.2576419214 0.48 0.473058237259117 0.985359353591805 0.364148092495885 0.019553906320645 0.741761007963115 0.0192621295455729
0 2.5e-07 0.01 A 0.0067 0.5 783 1187.62755102041 0.98 0.919229600305496 0.936653274819295 0.883709333616105 0.172494569811095 0.899573462862944 0.171437591653087
0 2.5e-07 0.01 X 0.0067 0.5 958 889.885177453027 0.983 0.974988984845547 0.991816812812113 0.90240060392278 0.102974217437635 0.916945671408901 0.102509532790025
0 2.5e-07 0.5 A 0.0067 0.001 2 NA 0.005 0.00443821430553913 NA 0.00295881000095 2.957333061e-05 0.56415733154 5.666663e-05
0 2.5e-07 0.5 X 0.0067 0.001 3 NA 0.003 0.003 NA 0.00245524443463 3.883555533e-05 0.740282957683333 4.44445e-06
0 2.5e-07 0.5 A 0.0067 0.01 72 1388.75 0.101 0.0926873762248052 0.917696794305002 0.059817889995005 0.001757623334375 0.579093201561931 0.000708448846732673
0 2.5e-07 0.5 X 0.0067 0.01 78 1141.79487179487 0.082 0.080908516300893 0.986689223181622 0.059345071035975 0.00102139108068 0.708801246109634 0.00174476980158537
0 2.5e-07 0.5 A 0.0067 0.1 547 1278.27898550725 0.657 0.626339093930986 0.951323604618157 0.44808868319281 0.016561083372085 0.452874048868128 0.0158816843690639
