m r d s f D_dxy_mean D_dxy_quantile0.05 D_dxy_quantile0.25 D_dxy_quantile0.50 D_dxy_quantile0.75 D_dxy_quantile0.95 HD_dxy_mean HD_dxy_quantile0.05 HD_dxy_quantile0.25 HD_dxy_quantile0.50 HD_dxy_quantile0.75 HD_dxy_quantile0.95
0 2.5e-07 0.5 0.05333 0.1 872.16684 808.661 845.5975 872.085 898.04625 934.059 779.828365 705.27775 750.52125 779.22 809.22875 853.71075
0 2.5e-07 0.5 0.05333 0.5 872.971095 807.4925 846.72125 872.095 898.775 938.8465 779.06039 712.13175 751.86375 778.2275 806.88875 847.15775
0 2.5e-07 0.01 0.0667 0.001 871.64502 811.515 844.67875 870.905 897.86 936.03875 778.81266 712.633 748.79125 779.21 806.65625 849.6195
0 2.5e-07 0.01 0.0667 0.01 870.15612 806.18525 844.79875 869.745 896.65125 931.6695 779.520815 711.88225 749.38125 777.285 811.2175 849.11725
0 2.5e-07 0.01 0.0667 0.1 873.291575 814.81825 847.725 871.205 898.63875 941.5435 780.32057 712.568 752.72 779.2625 807.1875 851.18875
0 2.5e-07 0.01 0.0667 0.5 873.06113 805.16775 846.5725 872.8475 899.67625 937.74025 779.24213 711.40775 749.75375 779.9475 806.71875 849.09875
0 2.5e-07 0.5 0.0667 0.001 871.205225 811.9645 843.93 870.8175 897.2675 936.8105 779.61684 713.24575 749.81625 779.5075 808.11125 851.1125
0 2.5e-07 0.5 0.0667 0.01 871.06221 809.6565 845.46875 868.6125 897.01875 935.3585 779.81365 710.96175 750.735 780.395 808.1675 850.97575
0 2.5e-07 0.5 0.0667 0.1 872.05243 806.714 844.54125 869.9 900.045 940.0915 779.586725 709.9385 751.36125 778.19 809.0675 849.03025
0 2.5e-07 0.5 0.0667 0.5 874.101645 811.93125 847.0325 872.84 901.0125 939.37075 779.50686 715.92325 750.40125 776.345 807.27875 854.93375
0 2.5e-07 0.01 0.1334 0.001 871.450085 811.13275 844.55 870.4525 897.74125 936.03875 778.96951 710.825 749.1625 778.2775 807.37375 849.77525
0 2.5e-07 0.01 0.1334 0.01 870.10666 804.22925 844.2875 870.5625 895.9925 932.4385 780.04438 712.57475 751.17 779.4325 807.62625 849.727
0 2.5e-07 0.01 0.1334 0.1 872.66055 812.58325 846.59125 870.89 897.57 938.9325 781.420905 718.85975 751.555 779.9675 809.465 851.1185
0 2.5e-07 0.01 0.1334 0.5 873.29675 811.9585 846.6375 871.8425 898.7775 941.5825 781.1631 714.46375 753.85 780.4375 808.075 848.747
