m r d s f D_fst_mean D_fst_quantile0.05 D_fst_quantile0.25 D_fst_quantile0.50 D_fst_quantile0.75 D_fst_quantile0.95 HD_fst_mean HD_fst_quantile0.05 HD_fst_quantile0.25 HD_fst_quantile0.50 HD_fst_quantile0.75 HD_fst_quantile0.95
0.000365 1.05e-06 0.01 0 0.1 0.629185685495409 0.514437376555165 0.590849304972647 0.63767443823162 0.676487245844335 0.7173403614118 0.626232468357881 0.514992316791314 0.584481908094424 0.633990044529082 0.672182162557843 0.718991930862782
0.000365 1.05e-06 0.5 0 0.1 0.629185685495409 0.514437376555165 0.590849304972647 0.63767443823162 0.676487245844335 0.7173403614118 0.626232468357881 0.514992316791314 0.584481908094424 0.633990044529082 0.672182162557843 0.718991930862782
0.000365 1.05e-06 0.01 0.0305 0.1 0.641407533771225 0.521149215175558 0.605106916056855 0.652496511339413 0.685002668843755 0.726938507965405 0.650028427670537 0.54291825199645 0.61375980375362 0.658265760968586 0.694977253492306 0.735243018374345
0.000365 1.05e-06 0.5 0.0305 0.1 0.645729546447047 0.526567239899081 0.609004780565603 0.657389246888427 0.690905160186724 0.728177826709285 0.651167354087941 0.544644937688485 0.61832791613455 0.658948039048501 0.694282543999263 0.7332470894102
0.000365 1.05e-06 0.01 0.0609 0.1 0.65674246140626 0.535235747778072 0.621073949346586 0.667778993725246 0.704107491314146 0.741169264141314 0.675316873428369 0.562590847785982 0.645258898036025 0.687988608759013 0.717475246138575 0.749276796051643
0.000365 1.05e-06 0.5 0.0609 0.1 0.666878869482454 0.559677902666276 0.637450143728613 0.677730456733355 0.706855630052595 0.74126666292193 0.675573403260152 0.564676772087419 0.651687624589276 0.683640505143303 0.713936187293827 0.747962512338155
0.000365 1.05e-06 0.01 0.1218 0.1 0.680861309003176 0.556885070575231 0.647288752501089 0.69544937589503 0.727593308783447 0.756417735473038 0.706651362849949 0.609193089864507 0.689001369308451 0.717256972805633 0.739247441336913 0.761699499782184
0.000365 1.05e-06 0.5 0.1218 0.1 0.693758504484645 0.609067602818584 0.670105395583107 0.70135421972471 0.726300126616336 0.753218584212465 0.700983082383448 0.614415322886646 0.679783715752458 0.708940088829608 0.733223751886945 0.756369579048926
0.000365 1.05e-06 0.01 0.2437 0.1 0.709131466306094 0.59112604668873 0.690325789648513 0.725763503652788 0.745894736620084 0.769469938266065 0.733834396200678 0.67685291855804 0.718189837426056 0.738812452455799 0.755804594781005 0.777292359436336
0.000365 1.05e-06 0.5 0.2437 0.1 0.718469266619289 0.650888144897002 0.699986064733784 0.724578212235875 0.744820783080143 0.767556031149046 0.723624781073615 0.658922830475628 0.708563059221031 0.728807746960896 0.747259975518763 0.769022806348163
0.000365 1.05e-06 0.01 0.3046 0.1 0.71874297585083 0.602118311663569 0.705131855656585 0.733253309168723 0.751611214349704 0.770827088998531 0.73991838252377 0.689039614979373 0.726889603426261 0.745278682633737 0.759168338911193 0.778121072680354
0.000365 1.05e-06 0.5 0.3046 0.1 0.724665852563942 0.662069441534499 0.707571378139054 0.730190619966712 0.748306071796781 0.771289992353623 0.7308121503038 0.668798263459127 0.715951340703171 0.737099249939897 0.752915430815489 0.772710395090293
0.000365 1.05e-06 0.01 0.6092 0.1 0.74047815064504 0.655703300642138 0.733815319934235 0.74957976282478 0.763149517959233 0.779280183483832 0.752034822180891 0.71426682551553 0.74153198364942 0.754790035306545 0.766778380222361 0.784813319559283
0.000365 1.05e-06 0.5 0.6092 0.1 0.74167096435128 0.694713747688209 0.728898794214502 0.746102573091065 0.75901450211601 0.776172315689904 0.745986593628971 0.70053850270376 0.734996404467178 0.749525272209977 0.763958067428567 0.780086846846286
0.000365 1.05e-06 0.01 2e-04 0.1 0.62901291686677 0.515125588143226 0.589840268072855 0.637416163970006 0.676610746271961 0.717223708050242 0.626243063201865 0.514957331966385 0.584559999533169 0.633980924065496 0.673048822047158 0.718485047414633
0.000365 1.05e-06 0.5 2e-04 0.1 0.629081223413436 0.514870969237988 0.590450286841367 0.638005728080434 0.676021039098295 0.716960607471038 0.626298501513007 0.516959342772366 0.58464909972581 0.633767382965867 0.672556238691424 0.718719462572062
0.000365 1.05e-06 0.01 4e-04 0.1 0.629080519136088 0.512443597107086 0.589139280106926 0.637561062393907 0.67654242507454 0.716850104121033 0.626302339210405 0.514838199136617 0.584324495512459 0.634420911727535 0.673567482946351 0.718408937233723
0.000365 1.05e-06 0.5 4e-04 0.1 0.628967489464962 0.515099338884716 0.589820301291589 0.636064862485334 0.676179572706375 0.716447828730869 0.626276240600575 0.512373340927338 0.584330565286704 0.634840114907377 0.671895151650678 0.718410296196037
0.000365 1.05e-06 0.01 9e-04 0.1 0.62912176461468 0.5118899720372 0.589272276274055 0.637620761463343 0.676663869566697 0.716466579699161 0.626188672167805 0.513908040636511 0.584488019602099 0.634563670665788 0.671802655594529 0.718903078160633
0.000365 1.05e-06 0.5 9e-04 0.1 0.628770189659499 0.511224986588259 0.589919452217151 0.636366736239767 0.675742823109419 0.716096235881678 0.626188557226358 0.512127204067721 0.582418998068546 0.635167173486842 0.671651241496146 0.718404057968928
0.000365 1.05e-06 0.01 0.003 0.1 0.629207877600891 0.514357544642025 0.58987757172439 0.637372806367128 0.676382994486221 0.717058728002295 0.626931436287548 0.515223341402387 0.586194862583578 0.634507717079078 0.673332385632861 0.719427070643519
0.000365 1.05e-06 0.5 0.003 0.1 0.628848230736108 0.511099462465273 0.589919533352553 0.638985183042409 0.676179852859136 0.717041555179614 0.626952562630837 0.515984543317918 0.583825316308112 0.634865936271988 0.674042652239335 0.718652607989648
