m r d s f D_pi2_mean D_pi2_quantile0.05 D_pi2_quantile0.25 D_pi2_quantile0.50 D_pi2_quantile0.75 D_pi2_quantile0.95 HD_pi2_mean HD_pi2_quantile0.05 HD_pi2_quantile0.25 HD_pi2_quantile0.50 HD_pi2_quantile0.75 HD_pi2_quantile0.95
0.000365 1.05e-06 0.01 0 0.1 466.517358046484 413.685606060606 446.363636363636 467.136363636364 488.867424242424 517.113636363636 468.707119037263 418.154545454545 446.318181818182 465.742424242424 490.924242424242 531.115151515151
0.000365 1.05e-06 0.5 0 0.1 466.517358046484 413.685606060606 446.363636363636 467.136363636364 488.867424242424 517.113636363636 468.707119037263 418.154545454545 446.318181818182 465.742424242424 490.924242424242 531.115151515151
0.000365 1.05e-06 0.01 0.0305 0.1 469.136190969524 417.871212121212 447.765151515152 469.560606060606 491.037878787879 522.568181818182 468.487714987715 415.919696969697 447 466.681818181818 487.090909090909 525.868181818181
0.000365 1.05e-06 0.5 0.0305 0.1 467.001202907453 414.835606060606 445.083333333333 468.333333333333 488.30303030303 517.864393939394 467.231192312555 412.051515151515 445.257575757576 467.712121212121 487.628787878788 521.822727272727
0.000365 1.05e-06 0.01 0.0609 0.1 470.251371742112 417.738636363636 447.810606060606 470.378787878788 491.791666666666 524.700757575758 467.036136559392 413.137121212121 445.162878787879 465.340909090909 488.526515151515 520.822727272727
0.000365 1.05e-06 0.5 0.0609 0.1 465.981861627023 413.621212121212 445.515151515152 463.833333333333 486.742424242424 526.19696969697 465.660822510822 414.12803030303 445.875 464.984848484848 487.151515151515 517.962878787879
0.000365 1.05e-06 0.01 0.1218 0.1 469.271087286435 414.65606060606 447.234848484848 469.742424242424 490.704545454545 525.59393939394 463.994296275053 411.621212121212 441.166666666667 464.348484848485 484.05303030303 516.477272727273
0.000365 1.05e-06 0.5 0.1218 0.1 463.605517262792 413.666666666667 441.859848484848 463.477272727273 485.07196969697 518.151515151515 462.484496835153 412.121212121212 442.05303030303 461.969696969697 483.022727272727 515.69696969697
0.000365 1.05e-06 0.01 0.2437 0.1 468.588961595388 413.404545454546 444.333333333333 466.893939393939 492.011363636364 524.306060606061 462.235054887931 409.606060606061 440.128787878788 461.484848484848 482.568181818182 514.30303030303
0.000365 1.05e-06 0.5 0.2437 0.1 462.50246969697 410.593181818182 440.935606060606 462.651515151516 483.280303030303 517.567424242424 460.784608129488 406.859848484848 438.833333333333 460.810606060606 481.606060606061 513.204545454545
0.000365 1.05e-06 0.01 0.3046 0.1 466.857813070464 417.453787878788 445.420454545454 466.363636363636 487.992424242424 521.187878787879 462.00877753438 410.511363636364 441.424242424242 461.234848484848 482.965909090909 511.390151515152
0.000365 1.05e-06 0.5 0.3046 0.1 462.14866095828 411.505303030303 440.875 462.401515151515 482.496212121212 512.475 460.290373615675 410.367424242424 438.435606060606 459.30303030303 481.708333333333 512.109848484848
0.000365 1.05e-06 0.01 0.6092 0.1 464.817837092485 409.907575757576 443.651515151516 463.969696969697 487.022727272727 515.663636363636 461.65813253012 410.780303030303 441.462121212121 460.689393939394 482.284090909091 514.875
0.000365 1.05e-06 0.5 0.6092 0.1 459.76092247779 411.045454545455 439.753787878788 459.727272727273 478.984848484848 510.034090909091 459.245930126212 407.256818181818 438.655303030303 458.545454545455 481.011363636364 511.647727272727
0.000365 1.05e-06 0.01 2e-04 0.1 466.437637241985 412.20303030303 445.325757575758 465.939393939394 488.318181818182 517.518181818182 469.777827050998 417.739393939394 446.5 466.272727272727 491.712121212121 533.060606060606
0.000365 1.05e-06 0.5 2e-04 0.1 465.547881729921 414.045454545455 443.337121212121 464.613636363636 487.625 516.856060606061 468.899196042053 418.102272727273 448.409090909091 467.068181818182 490.473484848485 527.515151515152
0.000365 1.05e-06 0.01 4e-04 0.1 467.510620915033 415.667424242425 447.401515151515 468.5 487.992424242424 517.114393939394 468.763756972712 416.909090909091 448.469696969697 466.242424242424 489.712121212121 527.151515151515
0.000365 1.05e-06 0.5 4e-04 0.1 465.87496249625 413.842424242424 445.992424242424 466.151515151515 487.234848484848 517.915909090909 468.377374784111 417.672727272727 446.969696969697 466.651515151515 490.439393939394 528.806060606061
0.000365 1.05e-06 0.01 9e-04 0.1 469.224559023066 414.454545454545 445.560606060606 471.333333333333 491.69696969697 519.742424242424 471.735321969697 422.253787878788 447.522727272727 469.575757575758 494.143939393939 531.47803030303
0.000365 1.05e-06 0.5 9e-04 0.1 467.914485165794 408.522727272727 447.727272727273 467.833333333333 493.363636363636 519.159090909091 469.154160654161 417.333333333333 448.060606060606 469.318181818182 491.090909090909 527.478787878788
0.000365 1.05e-06 0.01 0.003 0.1 469.685118511851 418.033333333333 451.806818181818 470.992424242424 490.015151515152 519.773484848485 469.160574820369 414.831818181818 449.106060606061 467.878787878787 490.712121212121 527.609090909091
0.000365 1.05e-06 0.5 0.003 0.1 468.642830746489 410.123484848485 449.859848484848 471.166666666667 490.837121212121 521.825 468.380575417092 416.699242424243 444.568181818182 466.242424242424 489.07196969697 523.017424242424
0.000365 1.05e-06 0.01 0.0042 0.1 468.64240967366 412.688636363637 450.007575757576 469.560606060606 489.337121212121 523.185606060606 469.09407507915 416.242424242424 445.863636363636 467.80303030303 492.015151515152 523.363636363636
0.000365 1.05e-06 0.5 0.0042 0.1 467.656422176309 412.905303030303 444.981060606061 468.590909090909 490.227272727273 521.810606060606 469.655053068759 418.533333333333 448.939393939394 467.984848484848 489.242424242424 529.139393939394
0.000365 1.05e-06 0.01 0.0058 0.1 467.884193695751 410.2 447.916666666667 468.560606060606 490.19696969697 516.959090909091 469.265930331351 412.995454545454 447.700757575758 468.128787878788 490.640151515152 530.860606060606
0.000365 1.05e-06 0.5 0.0058 0.1 467.738909715714 412.025757575758 448.181818181818 468.159090909091 491.200757575757 516.783333333333 468.667157687991 417.234848484849 443.958333333333 465.189393939394 487.799242424242 534.25
