m r d s f D_fst_mean D_fst_quantile0.05 D_fst_quantile0.25 D_fst_quantile0.50 D_fst_quantile0.75 D_fst_quantile0.95 HD_fst_mean HD_fst_quantile0.05 HD_fst_quantile0.25 HD_fst_quantile0.50 HD_fst_quantile0.75 HD_fst_quantile0.95
0.000365 1.05e-06 0.01 0 0.1 0.624254170507027 0.511606721546808 0.579989471782828 0.629350347258803 0.674239836679986 0.713968852753462 0.62606636089011 0.507227530596737 0.585747525988447 0.632713772222317 0.671670727652212 0.723020689088846
0.000365 1.05e-06 0.5 0 0.1 0.624254170507027 0.511606721546808 0.579989471782828 0.629350347258803 0.674239836679986 0.713968852753462 0.62606636089011 0.507227530596737 0.585747525988447 0.632713772222317 0.671670727652212 0.723020689088846
0.000365 1.05e-06 0.01 0.0305 0.1 0.665348899481026 0.573608635069166 0.636101552171291 0.673301793809395 0.702562847683371 0.73454158722817 0.671644554994945 0.57839081627911 0.642192235225487 0.677245334015121 0.704427442152785 0.743192257068729
0.000365 1.05e-06 0.5 0.0305 0.1 0.657761457295593 0.558022464438389 0.626044013164799 0.667212373163286 0.697964155900869 0.733847196686158 0.663301236722332 0.567942656860125 0.634241012214294 0.669318498803175 0.700443815355368 0.735500908346209
0.000365 1.05e-06 0.01 0.0609 0.1 0.686752242877828 0.599028026485925 0.661065782707394 0.696957989990612 0.721030388366751 0.746607196753638 0.692079136323523 0.608551921397692 0.667892525048204 0.700710034469161 0.723373562065308 0.75261426645472
0.000365 1.05e-06 0.5 0.0609 0.1 0.673647356991436 0.579446175479955 0.64557119205298 0.681302681129221 0.710025968207311 0.741754282890746 0.681949580088153 0.592287632348296 0.658018451849046 0.688540168127326 0.716197709119889 0.749605805498423
0.000365 1.05e-06 0.01 0.1218 0.1 0.71169986340456 0.636623032386315 0.693377864656447 0.718413042693247 0.738776674780456 0.760230397466357 0.711527492602582 0.632976946774471 0.693305740779633 0.718725173920237 0.740189419879595 0.761915285100871
0.000365 1.05e-06 0.5 0.1218 0.1 0.694898065600389 0.611956315496826 0.671419790684697 0.702226693923335 0.726732789543446 0.753459669600754 0.70184557217576 0.618411261047237 0.6806338086194 0.709522576189243 0.733337015216724 0.75640662350622
0.000365 1.05e-06 0.01 0.2437 0.1 0.730552631327198 0.678460904451897 0.716843520960938 0.735047570944083 0.751583393058822 0.770878463483512 0.734488620167406 0.679560925847557 0.718883991330186 0.738903865786206 0.755937572680365 0.777307014419817
0.000365 1.05e-06 0.5 0.2437 0.1 0.718469266619289 0.650888144897002 0.699986064733784 0.724578212235875 0.744820783080143 0.767556031149046 0.723591867535703 0.65888656520791 0.708563059221031 0.728745659741079 0.747259975518763 0.769030157470683
0.000365 1.05e-06 0.01 0.3046 0.1 0.735124523943109 0.68853523848405 0.720968655991399 0.739907001748918 0.754760165689167 0.771984847438942 0.739988874102478 0.689201066023972 0.727089218608316 0.745278682633737 0.759243035101413 0.778158915278754
0.000365 1.05e-06 0.5 0.3046 0.1 0.724741142710671 0.662053404431159 0.707933378879631 0.730320612027654 0.748357871215732 0.771298444315541 0.73081633712702 0.668722851032403 0.715951340703171 0.737099249939897 0.752915430815489 0.772724725219778
0.000365 1.05e-06 0.01 0.6092 0.1 0.748509443236837 0.704319908586602 0.738411919599679 0.751567539094877 0.764296468502756 0.780257813905096 0.751996992150943 0.714129244144433 0.74153198364942 0.754790035306545 0.766735417106777 0.784382953186894
0.000365 1.05e-06 0.5 0.6092 0.1 0.741764414568658 0.69456650969124 0.729108113518305 0.746145381492756 0.759064707387485 0.776172908696277 0.746004830293063 0.700705381317659 0.734944090180429 0.749525272209977 0.763919060778182 0.780066784284861
0.000365 1.05e-06 0.01 2e-04 0.1 0.624265855582352 0.515871790449586 0.58065760369758 0.629914058722857 0.67611098671039 0.713925847041406 0.624015477497624 0.506727367217542 0.582701027652139 0.626171303677697 0.673656952954462 0.723943282741684
0.000365 1.05e-06 0.5 2e-04 0.1 0.624254027212809 0.513680913176774 0.579474946778229 0.628677182422822 0.67487308226889 0.713636268883977 0.624926260097413 0.506658509994927 0.584263852642846 0.626667820560672 0.673922358472286 0.722030634845895
0.000365 1.05e-06 0.01 4e-04 0.1 0.623874361207989 0.512450813825615 0.579468806448096 0.62925771953718 0.673876916440898 0.713284900942355 0.625570772794878 0.511807489479666 0.585856614752275 0.630767653820382 0.674415308693767 0.716059643768206
0.000365 1.05e-06 0.5 4e-04 0.1 0.624320728024355 0.514042359570281 0.577196990194339 0.628441693492155 0.675776647881837 0.714613332523982 0.625185749049908 0.507108723405207 0.583974723163758 0.635042146364566 0.672839975614287 0.722301520047076
0.000365 1.05e-06 0.01 9e-04 0.1 0.625723593870409 0.510843449174767 0.581163500990604 0.63073266234305 0.679476636388033 0.716837121956858 0.630091129505791 0.513012491632773 0.590135838188189 0.636174231641218 0.673504187782399 0.721996721876403
0.000365 1.05e-06 0.5 9e-04 0.1 0.623050769445631 0.506325276787845 0.583868236096363 0.625906894688197 0.674190906719458 0.71106568685288 0.630631558725587 0.51619953999084 0.591519024779419 0.637502126375576 0.675210061371438 0.719914493300584
0.000365 1.05e-06 0.01 0.003 0.1 0.625856086653297 0.507266872783801 0.58148555361587 0.633586897909155 0.675026496835882 0.717046910577966 0.632276532084378 0.519336443986458 0.591758657455205 0.635791535425826 0.682149168216067 0.725017113306561
0.000365 1.05e-06 0.5 0.003 0.1 0.629499554413419 0.508062922980048 0.589848152527801 0.639641720160979 0.676450181611126 0.710391572155003 0.629055217111232 0.519467060210492 0.584546985807441 0.632051715080234 0.676716070777372 0.722473336017304
