chr h m sr s r f t window pi_pop1 pi_pop2 dxy fst fst0.025 fst0.05 fst0.10 fst0.25 fst0.5 fst0.75 fst0.90 fst0.95 fst0.975
X 0.01 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 50000 0.621621621621622 2.02552552552553 7.16561561561562 0.805216432593038 0.564164821823895 0.618103233041777 0.652018874104764 0.742809509349848 0.815964523281596 0.883593470749434 0.931969067414937 0.953054607930769 0.967741935483871
X 0.01 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 25000 0.398326898326898 1.22407862407862 5.06092342342342 0.834446136578607 0.623587640310842 0.653735773080912 0.701106301106301 0.776859504132231 0.844668489405332 0.914190396759204 0.954832535885167 0.972311472311472 1
X 0.01 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 10000 0.266151866151866 0.816134316134316 4.00266516516517 0.861502567373015 0.651898101898102 0.68849045691151 0.720831168831169 0.80684727458921 0.874125874125874 0.932824907051711 0.974447174447175 1 1
A 0.5 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 1e+05 1.60267857142857 3.86355958230958 12.1455166103604 0.759941999047221 0.485206800507804 0.553003582119646 0.60470147382498 0.691004811015315 0.775935074100212 0.850310372547427 0.894169577683431 0.911829405676899 0.923541859169667
A 0.5 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 50000 0.835364382239382 2.00885544635545 7.33769707207207 0.792464806088838 0.508061998904245 0.566390958659661 0.636608319217015 0.7251443001443 0.812110910878113 0.881665725578769 0.924755564801331 0.947444045316386 0.961496857650367
A 0.5 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 25000 0.522683397683398 1.19543407043407 5.1986204954955 0.824070445537741 0.526697893569845 0.612016763562127 0.659949330972058 0.755867894481756 0.849917133872577 0.912565683792099 0.954565249758059 0.978723404255319 1
A 0.5 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 10000 0.372104247104247 0.793253480753481 4.10318130630631 0.849778471794644 0.577611876759604 0.642992766726944 0.69759559755996 0.788717613826201 0.87622054950945 0.930281799540173 0.979591836734694 1 1
X 0.5 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 1e+05 1.32361414663223 3.90713111644961 11.9931907742235 0.767533029110543 0.499492156588931 0.562318380221014 0.620021180536202 0.697182145585507 0.782261640798226 0.853142290545045 0.903971309658035 0.925716897828793 0.944136005353515
X 0.5 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 50000 0.702215378501888 2.02901757491465 7.09445989800649 0.796059463926709 0.549708148993863 0.59053216090024 0.644746411483254 0.728778960977103 0.81524926686217 0.88165085829921 0.931070789675441 0.952415128730918 0.967751532924553
X 0.5 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 25000 0.438754222133916 1.23462721793737 5.04763560500695 0.826670310333578 0.563753715803405 0.632134754728338 0.684375170666171 0.764757969303424 0.843181818181818 0.904860291223928 0.953477922497467 0.972972972972973 0.992857142857142
X 0.5 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 10000 0.299672163719452 0.836009609305854 3.98956884561892 0.853244440882234 0.57058793919259 0.668361401548408 0.718989898989899 0.793811371555274 0.869244391971665 0.931318681318681 0.978897090751194 1 1
A 0.01 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 1e+05 1.12242798353909 3.86840628507295 12.2050325788752 0.784533819715082 0.572628736056911 0.609250491892078 0.658136324027025 0.721924795790586 0.796032216427379 0.857823395816007 0.900211746426257 0.924895770017721 0.937924338116216
A 0.01 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 50000 0.586493239271017 2.06172839506173 7.3468792866941 0.810912967606332 0.583406095138839 0.627865354983999 0.679611752250977 0.750398724082935 0.82127533994688 0.885116920535731 0.925271199388846 0.950381745468396 0.970355731225297
A 0.01 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 25000 0.368459729570841 1.2367190422746 5.19015775034294 0.839248532178319 0.625369105236489 0.667239623121976 0.700181431306239 0.776047598829125 0.855065262675101 0.913023088023088 0.957835333546909 0.972972972972973 0.988162672476398
A 0.01 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 10000 0.245884773662551 0.829841626137922 4.11882716049383 0.866749310259621 0.684765892002734 0.701895790326374 0.738021461770775 0.811818372150566 0.881873355402767 0.934020524929616 0.976748366992269 1 1
X 0.01 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 1e+05 1.08374861572536 3.86389084644899 12.1837047803618 0.787135854125489 0.567501794106072 0.608139148598987 0.652939617155487 0.730620740608903 0.795616841502512 0.854905658202812 0.90224401584175 0.924419978618452 0.939734761206535
X 0.01 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 50000 0.574566260612772 2.01141257536606 7.22084948320413 0.811523637147965 0.583951233139117 0.622559588800469 0.667351992270025 0.746428159926259 0.824027185501066 0.891121915648269 0.931786777136862 0.952302631578947 0.961361644490479
X 0.01 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 25000 0.353036175710594 1.19283924516483 5.07760012919897 0.842875361036668 0.627087776592908 0.668367169625532 0.702482114376851 0.777303216264255 0.858970044553986 0.919480519480519 0.958024328612564 0.972972972972973 1
X 0.01 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 10000 0.227297895902547 0.791343669250646 4.00126507321275 0.871747423228893 0.659224936648717 0.694953857511997 0.742723942723943 0.818587662337662 0.888053467000835 0.939877498388137 0.975609756097561 1 1
A 0.5 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 1e+05 1.27807646356033 3.89998551826509 12.3385105535643 0.778927853037931 0.560452296413977 0.600516552690466 0.642621015348288 0.704419611396356 0.789573415907935 0.859437092875579 0.901121101121101 0.922656832126707 0.939093929062458
A 0.5 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 50000 0.664959890766342 2.09201332319612 7.42858920748706 0.80507998532735 0.58227251206653 0.607386709017388 0.651272675480053 0.733511586452763 0.822646103896104 0.885590599876314 0.927372627372627 0.949360892467304 0.967306165099269
A 0.5 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 25000 0.407364738009899 1.25346656529452 5.24566905615293 0.836216524823983 0.614500959243835 0.644937671024628 0.685714285714286 0.764935064935065 0.857142857142857 0.921465968586387 0.958561643835616 0.972972972972973 0.987980155917789
A 0.5 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 10000 0.282514080901178 0.848140907280692 4.18645459976105 0.86283521258459 0.639120425029516 0.675307422046552 0.724257560621197 0.805909686643632 0.878787878787879 0.941176470588235 0.974159174159174 1 1
X 0.5 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 1e+05 1.15572998430141 3.89948384948385 12.2283882783883 0.782585500615904 0.55262568442011 0.613244249996264 0.656016844118448 0.719638043045919 0.792036390269988 0.858841212589419 0.899919833253166 0.921222018461609 0.938304435492447
X 0.5 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 50000 0.614285714285714 2.04768564768565 7.36739926739927 0.811106659763574 0.582908282148836 0.641550290237131 0.686456899442232 0.749045072574484 0.819009094113697 0.888050704449162 0.927155741844546 0.950072756868742 0.962191660970608
X 0.5 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 25000 0.389324960753532 1.20539460539461 5.20689102564103 0.842866395784381 0.62102076237143 0.670633299284985 0.711519694994271 0.787089622706061 0.853879784738931 0.916163317814261 0.96 0.977920865418743 0.986301369863014
