chr h m sr s r f t window pi_pop1 pi_pop2 dxy fst fst0.025 fst0.05 fst0.10 fst0.25 fst0.5 fst0.75 fst0.90 fst0.95 fst0.975
A 0.5 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 25000 0.812107142857143 1.31659090909091 3.01970833333333 0.546079652041816 0 0.0493801652892562 0.136363636363636 0.324494063855766 0.574916672826791 0.781349876295147 0.891667345471545 0.938833845794924 0.969750603378922
A 0.5 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 10000 0.549035714285714 0.896939393939394 2.121 0.525877387491782 0 0 0.051948051948052 0.285714285714286 0.545854145854146 0.788014069264069 0.918918918918919 0.96 1
X 0.5 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 1e+05 2.45889285714286 4.11495454545455 8.92129166666667 0.585218626265082 0.151654785538626 0.217263401643785 0.285556681904252 0.439897623890739 0.609060010502318 0.746735269916515 0.843620904589876 0.887622648069862 0.910820830709772
X 0.5 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 50000 1.33675 2.22416666666667 4.81514583333333 0.564530015111637 0.0990516400595452 0.142166478494793 0.224034183757242 0.383518862090291 0.585829616923957 0.756102188910235 0.864601969254797 0.918387084040579 0.941672807663965
X 0.5 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 25000 0.798857142857143 1.35715151515151 2.97775 0.538547069250409 0 0.0609636740071523 0.136363636363636 0.324970484061393 0.565184815184815 0.769267574530732 0.886937452791111 0.927597821842426 0.960060606060606
X 0.5 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 10000 0.524642857142857 0.947893939393939 2.05858333333333 0.50758699055894 0 0 0.0606060606060606 0.25974025974026 0.531348973607038 0.765088966400283 0.899676329862088 0.944232784803348 0.986643835616438
A 0.01 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 1e+05 2.04667857142857 3.86407575757576 9.98179166666667 0.657665358891211 0.210963890318606 0.254076358424185 0.342638446020694 0.543041418041418 0.703273149614613 0.811649135178547 0.873155866851256 0.907187200450337 0.92451385322148
A 0.01 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 50000 1.07735714285714 2.0474696969697 5.62329166666667 0.653832788222346 0.134445684828223 0.194805194805195 0.285177307565367 0.510429184342228 0.713752001423234 0.830942313500453 0.906547875505222 0.933209180756351 0.951357232668809
A 0.01 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 25000 0.654821428571429 1.20325757575758 3.61014583333333 0.645446542100296 0.0281273873185638 0.122034632034632 0.220960759670437 0.45247836130361 0.727272727272727 0.860427801574683 0.935673109958824 0.96 0.979591836734694
A 0.01 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 10000 0.430821428571429 0.80310606060606 2.628125 0.631420225750587 0 0 0.136363636363636 0.414418914418914 0.737482456660539 0.872852953498115 0.958809917355372 1 1
X 0.01 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 1e+05 1.75917857142857 3.99590909090909 10.5855208333333 0.68774213796827 0.196638734916855 0.285133786762788 0.413062468943433 0.603881232527078 0.735042593243922 0.820723752936232 0.881810069418959 0.913238035812489 0.933161922607268
X 0.01 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 50000 0.916071428571429 2.09362121212121 6.02770833333333 0.696442195537049 0.152050739957717 0.24617072985494 0.358380492070046 0.592429521697814 0.758720474156716 0.853667055304057 0.916948774178299 0.941180811167442 0.961731201875852
X 0.01 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 25000 0.5445 1.26113636363636 4.02704166666667 0.697384182384858 0.0604978354978355 0.139300030635364 0.285114885114885 0.594865218814799 0.78077813659209 0.872727272727273 0.941176470588235 0.963636363636364 0.986301369863014
X 0.01 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 10000 0.354285714285714 0.852378787878788 3.03258333333333 0.691813726557135 0 0.0452020202020202 0.181681476418319 0.551391010949834 0.804298904912402 0.899955287279231 0.96 1 1
